prompt,target
Predict the Tg of the following SMILES: *[Si](CCC*)(c1ccccc1)C,-30.15
Predict the Tg of the following SMILES: C(C[Si](*)(C)c1ccccc1)C*,-30.15
Predict the Tg of the following SMILES: *[Si](CCC*)(c1ccccc1)C,-30.15
Predict the Tg of the following SMILES: c1c([Si](C)(*)CCC*)cccc1,-30.15
Predict the Tg of the following SMILES: [Si](*)(C)(CCC*)c1ccccc1,-30.15
Predict the Tg of the following SMILES: *[Si](C)(CCC*)c1ccccc1,-30.15
Predict the Tg of the following SMILES: C[Si](c1ccccc1)(CCC*)*,-30.15
Predict the Tg of the following SMILES: *[Si](c1ccccc1)(CCC*)C,-30.15
Predict the Tg of the following SMILES: c1c([Si](C)(CCC*)*)cccc1,-30.15
Predict the Tg of the following SMILES: c1cc([Si](C)(CCC*)*)ccc1,-30.15
Predict the Tg of the following SMILES: O=C(O*)Oc1ccc(C2(c3ccc(*)cc3)C3C4CCCC4C(C2)C3)cc1,246.85
Predict the Tg of the following SMILES: *c1ccc(C2(c3ccc(OC(=O)O*)cc3)CC3CC2C2C3CCC2)cc1,246.85
Predict the Tg of the following SMILES: C12C(CCC1)C1CC2CC1(c1ccc(*)cc1)c1ccc(OC(=O)O*)cc1,246.85
Predict the Tg of the following SMILES: C12CC(c3ccc(OC(=O)O*)cc3)(c3ccc(*)cc3)C(C1)C1CCCC21,246.85
Predict the Tg of the following SMILES: *c1ccc(C2(c3ccc(OC(O*)=O)cc3)C3C4C(CCC4)C(C3)C2)cc1,246.85
Predict the Tg of the following SMILES: C1C2C(C3CC(c4ccc(OC(O*)=O)cc4)(c4ccc(*)cc4)C2C3)CC1,246.85
Predict the Tg of the following SMILES: c1(C2(c3ccc(OC(=O)O*)cc3)CC3C4C(CCC4)C2C3)ccc(*)cc1,246.85
Predict the Tg of the following SMILES: c1c(C2(c3ccc(OC(=O)O*)cc3)CC3CC2C2CCCC23)ccc(*)c1,246.85
Predict the Tg of the following SMILES: C12C(CCC1)C1CC(c3ccc(*)cc3)(c3ccc(OC(=O)O*)cc3)C2C1,246.85
Predict the Tg of the following SMILES: c1c(OC(=O)O*)ccc(C2(c3ccc(*)cc3)CC3CC2C2CCCC32)c1,246.85
Predict the Tg of the following SMILES: c1(-c2ccc(Oc3ccc(-c4c5c(nc(-c6cccc(*)c6)c4)cccc5)cc3)cc2)cc(*)nc2c1cccc2,267.85
Predict the Tg of the following SMILES: c1cc(-c2c3ccccc3nc(*)c2)ccc1Oc1ccc(-c2c3c(nc(-c4cccc(*)c4)c2)cccc3)cc1,267.85
Predict the Tg of the following SMILES: c1ccc2nc(*)cc(-c3ccc(Oc4ccc(-c5c6c(cccc6)nc(-c6cc(*)ccc6)c5)cc4)cc3)c2c1,267.85
Predict the Tg of the following SMILES: c1c2c(-c3ccc(Oc4ccc(-c5cc(*)nc6ccccc56)cc4)cc3)cc(-c3cc(*)ccc3)nc2ccc1,267.85
Predict the Tg of the following SMILES: c1c(-c2cc(*)nc3c2cccc3)ccc(Oc2ccc(-c3cc(-c4cccc(*)c4)nc4ccccc34)cc2)c1,267.85
Predict the Tg of the following SMILES: *c1cc(-c2nc3ccccc3c(-c3ccc(Oc4ccc(-c5c6ccccc6nc(*)c5)cc4)cc3)c2)ccc1,267.85
Predict the Tg of the following SMILES: c1ccc2nc(-c3cc(*)ccc3)cc(-c3ccc(Oc4ccc(-c5cc(*)nc6c5cccc6)cc4)cc3)c2c1,267.85
Predict the Tg of the following SMILES: c1c(*)cccc1-c1nc2ccccc2c(-c2ccc(Oc3ccc(-c4c5c(cccc5)nc(*)c4)cc3)cc2)c1,267.85
Predict the Tg of the following SMILES: c12ccccc1nc(-c1cc(*)ccc1)cc2-c1ccc(Oc2ccc(-c3cc(*)nc4ccccc43)cc2)cc1,267.85
Predict the Tg of the following SMILES: c1cccc2nc(*)cc(-c3ccc(Oc4ccc(-c5c6c(nc(-c7cccc(*)c7)c5)cccc6)cc4)cc3)c12,267.85
Predict the Tg of the following SMILES: c1cc(Oc2ccc(-c3c4ccccc4nc(*)c3)cc2)ccc1-c1c2ccccc2nc(-c2ccc(Oc3ccc(*)cc3)cc2)c1,325.85
Predict the Tg of the following SMILES: c1c(Oc2ccc(-c3cc(-c4ccc(Oc5ccc(-c6c7c(nc(*)c6)cccc7)cc5)cc4)c4c(n3)cccc4)cc2)ccc(*)c1,325.85
Predict the Tg of the following SMILES: c1(Oc2ccc(-c3cc(*)nc4ccccc34)cc2)ccc(-c2cc(-c3ccc(Oc4ccc(*)cc4)cc3)nc3c2cccc3)cc1,325.85
Predict the Tg of the following SMILES: c1(-c2cc(-c3ccc(Oc4ccc(*)cc4)cc3)nc3ccccc32)ccc(Oc2ccc(-c3c4ccccc4nc(*)c3)cc2)cc1,325.85
Predict the Tg of the following SMILES: c1cc(-c2cc(-c3ccc(Oc4ccc(*)cc4)cc3)nc3ccccc32)ccc1Oc1ccc(-c2c3c(cccc3)nc(*)c2)cc1,325.85
Predict the Tg of the following SMILES: c1(Oc2ccc(-c3c4ccccc4nc(-c4ccc(Oc5ccc(*)cc5)cc4)c3)cc2)ccc(-c2c3c(cccc3)nc(*)c2)cc1,325.85
Predict the Tg of the following SMILES: c1(Oc2ccc(*)cc2)ccc(-c2cc(-c3ccc(Oc4ccc(-c5cc(*)nc6c5cccc6)cc4)cc3)c3c(cccc3)n2)cc1,325.85
Predict the Tg of the following SMILES: c1cc(Oc2ccc(-c3nc4ccccc4c(-c4ccc(Oc5ccc(-c6cc(*)nc7ccccc67)cc5)cc4)c3)cc2)ccc1*,325.85
Predict the Tg of the following SMILES: c1c2c(ccc1)nc(-c1ccc(Oc3ccc(*)cc3)cc1)cc2-c1ccc(Oc2ccc(-c3c4ccccc4nc(*)c3)cc2)cc1,325.85
Predict the Tg of the following SMILES: c1c(-c2nc3c(c(-c4ccc(Oc5ccc(-c6cc(*)nc7c6cccc7)cc5)cc4)c2)cccc3)ccc(Oc2ccc(*)cc2)c1,325.85
Predict the Tg of the following SMILES: CCCCOc1ccc(C(C*)*)cc1,46.85
Predict the Tg of the following SMILES: CCCCOc1ccc(C(*)C*)cc1,46.85
Predict the Tg of the following SMILES: O(CCCC)c1ccc(C(*)C*)cc1,46.85
Predict the Tg of the following SMILES: C(CCC)Oc1ccc(C(C*)*)cc1,46.85
Predict the Tg of the following SMILES: C(CC)COc1ccc(C(C*)*)cc1,46.85
Predict the Tg of the following SMILES: c1cc(OCCCC)ccc1C(*)C*,46.85
Predict the Tg of the following SMILES: c1c(C(*)C*)ccc(OCCCC)c1,46.85
Predict the Tg of the following SMILES: *CC(*)c1ccc(OCCCC)cc1,46.85
Predict the Tg of the following SMILES: C(Oc1ccc(C(C*)*)cc1)CCC,46.85
Predict the Tg of the following SMILES: *C(C*)c1ccc(OCCCC)cc1,46.85
Predict the Tg of the following SMILES: C[Si](*)(C*)C,-100.15
Predict the Tg of the following SMILES: C[Si](C*)(C)*,-100.15
Predict the Tg of the following SMILES: [Si](C)(*)(C)C*,-100.15
Predict the Tg of the following SMILES: C[Si](*)(C*)C,-100.15
Predict the Tg of the following SMILES: C(*)[Si](*)(C)C,-100.15
Predict the Tg of the following SMILES: C(*)[Si](*)(C)C,-100.15
Predict the Tg of the following SMILES: *C[Si](C)(*)C,-100.15
Predict the Tg of the following SMILES: *[Si](C)(C*)C,-100.15
